Match Number,Round Number,Date,Location,Home Team,Away Team,Result
271,1,18/11/25 00:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Milwaukee Bucks,
272,1,18/11/25 00:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Indiana Pacers,
273,1,18/11/25 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,LA Clippers,
274,1,18/11/25 00:30,"Kaseya Center, Miami, FL",Miami Heat,New York Knicks,
275,1,18/11/25 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Charlotte Hornets,
276,1,18/11/25 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Dallas Mavericks,
277,1,18/11/25 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Oklahoma City Thunder,
278,1,18/11/25 02:00,"Ball Arena, Denver, CO",Denver Nuggets,Chicago Bulls,
279,1,19/11/25 00:00,"Kia Center, Orlando, FL",Orlando Magic,Golden State Warriors,
280,1,19/11/25 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Boston Celtics,
281,1,19/11/25 01:00,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Detroit Pistons,
282,1,19/11/25 01:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Memphis Grizzlies,
283,1,19/11/25 03:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Utah Jazz,
284,1,19/11/25 04:00,"Moda Center, Portland, OR",Portland Trail Blazers,Phoenix Suns,
285,1,20/11/25 00:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Houston Rockets,
286,1,20/11/25 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Charlotte Hornets,
287,1,20/11/25 00:00,"Kaseya Center, Miami, FL",Miami Heat,Golden State Warriors,
288,1,20/11/25 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Toronto Raptors,
289,1,20/11/25 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Washington Wizards,
290,1,20/11/25 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Denver Nuggets,
291,1,20/11/25 01:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Sacramento Kings,
292,1,20/11/25 02:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,New York Knicks,
293,1,20/11/25 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Chicago Bulls,
294,1,21/11/25 00:00,"Kia Center, Orlando, FL",Orlando Magic,LA Clippers,
295,1,21/11/25 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Sacramento Kings,
296,1,21/11/25 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Philadelphia 76ers,
297,1,21/11/25 01:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Atlanta Hawks,
298,1,22/11/25 00:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Indiana Pacers,
299,1,22/11/25 00:30,"TD Garden, Boston, MA",Boston Celtics,Brooklyn Nets,
300,1,22/11/25 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Washington Wizards,
301,1,22/11/25 01:00,"United Center, Chicago, IL",Chicago Bulls,Miami Heat,
302,1,22/11/25 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,New Orleans Pelicans,
303,1,22/11/25 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Minnesota Timberwolves,
304,1,22/11/25 02:30,"Toyota Center, Houston, TX",Houston Rockets,Denver Nuggets,
305,1,22/11/25 03:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Oklahoma City Thunder,
306,1,22/11/25 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Portland Trail Blazers,
307,1,22/11/25 18:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,LA Clippers,
308,1,22/11/25 22:00,"Kia Center, Orlando, FL",Orlando Magic,New York Knicks,
309,1,23/11/25 00:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Atlanta Hawks,
310,1,23/11/25 01:00,"United Center, Chicago, IL",Chicago Bulls,Washington Wizards,
311,1,23/11/25 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Detroit Pistons,
312,1,23/11/25 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Memphis Grizzlies,
313,1,23/11/25 03:00,"Ball Arena, Denver, CO",Denver Nuggets,Sacramento Kings,
314,1,23/11/25 18:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Miami Heat,
315,1,23/11/25 23:00,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Charlotte Hornets,
316,1,23/11/25 23:00,"TD Garden, Boston, MA",Boston Celtics,Orlando Magic,
