Match Number,Round Number,Date,Location,Home Team,Away Team,Result
722,1,24/01/26 22:30,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Golden State Warriors,
723,1,24/01/26 23:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Washington Wizards,
724,1,25/01/26 00:00,"Kia Center, Orlando, FL",Orlando Magic,Cleveland Cavaliers,
725,1,25/01/26 01:00,"United Center, Chicago, IL",Chicago Bulls,Boston Celtics,
726,1,25/01/26 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Los Angeles Lakers,
727,1,25/01/26 02:30,"Delta Center, Salt Lake City, UT",Utah Jazz,Miami Heat,
728,1,25/01/26 20:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Sacramento Kings,
729,1,25/01/26 20:30,"FedExForum, Memphis, TN",Memphis Grizzlies,Denver Nuggets,
730,1,26/01/26 00:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Dallas Mavericks,
731,1,26/01/26 00:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Toronto Raptors,
732,1,26/01/26 00:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,New Orleans Pelicans,
733,1,26/01/26 01:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Miami Heat,
734,1,26/01/26 02:00,"Intuit Dome, Inglewood, CA",LA Clippers,Brooklyn Nets,
735,1,27/01/26 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Philadelphia 76ers,
736,1,27/01/26 00:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Orlando Magic,
737,1,27/01/26 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Indiana Pacers,
738,1,27/01/26 01:00,"TD Garden, Boston, MA",Boston Celtics,Portland Trail Blazers,
739,1,27/01/26 01:00,"United Center, Chicago, IL",Chicago Bulls,Los Angeles Lakers,
740,1,27/01/26 01:00,"Toyota Center, Houston, TX",Houston Rockets,Memphis Grizzlies,
741,1,27/01/26 02:30,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Golden State Warriors,
742,1,28/01/26 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Portland Trail Blazers,
743,1,28/01/26 00:30,"Madison Square Garden, New York, NY",New York Knicks,Sacramento Kings,
744,1,28/01/26 01:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Milwaukee Bucks,
745,1,28/01/26 01:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,New Orleans Pelicans,
746,1,28/01/26 02:00,"Ball Arena, Denver, CO",Denver Nuggets,Detroit Pistons,
747,1,28/01/26 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Brooklyn Nets,
748,1,28/01/26 03:00,"Delta Center, Salt Lake City, UT",Utah Jazz,LA Clippers,
749,1,29/01/26 00:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Los Angeles Lakers,
750,1,29/01/26 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Chicago Bulls,
751,1,29/01/26 00:30,"TD Garden, Boston, MA",Boston Celtics,Atlanta Hawks,
752,1,29/01/26 00:30,"Kaseya Center, Miami, FL",Miami Heat,Orlando Magic,
753,1,29/01/26 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,New York Knicks,
754,1,29/01/26 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Charlotte Hornets,
755,1,29/01/26 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Minnesota Timberwolves,
756,1,29/01/26 02:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Golden State Warriors,
757,1,29/01/26 02:30,"Toyota Center, Houston, TX",Houston Rockets,San Antonio Spurs,
758,1,30/01/26 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Sacramento Kings,
759,1,30/01/26 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Milwaukee Bucks,
760,1,30/01/26 01:00,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Houston Rockets,
761,1,30/01/26 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Charlotte Hornets,
762,1,30/01/26 02:00,"Ball Arena, Denver, CO",Denver Nuggets,Brooklyn Nets,
763,1,30/01/26 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Detroit Pistons,
764,1,30/01/26 02:30,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Oklahoma City Thunder,
765,1,31/01/26 00:00,"Kia Center, Orlando, FL",Orlando Magic,Toronto Raptors,
766,1,31/01/26 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Los Angeles Lakers,
767,1,31/01/26 00:30,"TD Garden, Boston, MA",Boston Celtics,Sacramento Kings,
768,1,31/01/26 00:30,"Madison Square Garden, New York, NY",New York Knicks,Portland Trail Blazers,
769,1,31/01/26 00:30,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Memphis Grizzlies,
770,1,31/01/26 01:00,"Kaseya Center, Miami, FL",Miami Heat,Chicago Bulls,
771,1,31/01/26 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Cleveland Cavaliers,
772,1,31/01/26 02:30,"Delta Center, Salt Lake City, UT",Utah Jazz,Brooklyn Nets,
773,1,31/01/26 03:00,"Ball Arena, Denver, CO",Denver Nuggets,LA Clippers,
774,1,31/01/26 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Detroit Pistons,
775,1,31/01/26 20:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,San Antonio Spurs,
776,1,01/02/26 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Atlanta Hawks,
777,1,01/02/26 00:30,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,New Orleans Pelicans,
778,1,01/02/26 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Minnesota Timberwolves,
779,1,01/02/26 01:30,"Toyota Center, Houston, TX",Houston Rockets,Dallas Mavericks,
780,1,01/02/26 20:30,"TD Garden, Boston, MA",Boston Celtics,Milwaukee Bucks,
781,1,01/02/26 21:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Orlando Magic,
782,1,01/02/26 23:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Brooklyn Nets,
783,1,01/02/26 23:00,"Kaseya Center, Miami, FL",Miami Heat,Chicago Bulls,
784,1,01/02/26 23:00,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Utah Jazz,
785,1,01/02/26 23:00,"Capital One Arena, Washington, DC",Washington Wizards,Sacramento Kings,
786,1,02/02/26 00:00,"Madison Square Garden, New York, NY",New York Knicks,Los Angeles Lakers,
787,1,02/02/26 01:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,LA Clippers,
788,1,02/02/26 02:00,"Moda Center, Portland, OR",Portland Trail Blazers,Cleveland Cavaliers,
789,1,02/02/26 02:30,"Ball Arena, Denver, CO",Denver Nuggets,Oklahoma City Thunder,
790,1,03/02/26 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,New Orleans Pelicans,
791,1,03/02/26 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Houston Rockets,
792,1,03/02/26 02:30,"FedExForum, Memphis, TN",Memphis Grizzlies,Minnesota Timberwolves,
793,1,03/02/26 03:30,"Intuit Dome, Inglewood, CA",LA Clippers,Philadelphia 76ers,
794,1,04/02/26 00:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Denver Nuggets,
795,1,04/02/26 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Utah Jazz,
796,1,04/02/26 00:00,"Capital One Arena, Washington, DC",Washington Wizards,New York Knicks,
797,1,04/02/26 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Los Angeles Lakers,
798,1,04/02/26 00:30,"Kaseya Center, Miami, FL",Miami Heat,Atlanta Hawks,
799,1,04/02/26 01:00,"American Airlines Center, Dallas, TX",Dallas Mavericks,Boston Celtics,
800,1,04/02/26 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Chicago Bulls,
801,1,04/02/26 01:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Orlando Magic,
802,1,04/02/26 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Philadelphia 76ers,
803,1,04/02/26 04:00,"Moda Center, Portland, OR",Portland Trail Blazers,Phoenix Suns,
804,1,05/02/26 00:00,"Madison Square Garden, New York, NY",New York Knicks,Denver Nuggets,
805,1,05/02/26 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Minnesota Timberwolves,
806,1,05/02/26 01:00,"Toyota Center, Houston, TX",Houston Rockets,Boston Celtics,
807,1,05/02/26 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,New Orleans Pelicans,
808,1,05/02/26 02:30,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Oklahoma City Thunder,
809,1,05/02/26 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Memphis Grizzlies,
810,1,05/02/26 03:30,"Intuit Dome, Inglewood, CA",LA Clippers,Cleveland Cavaliers,
811,1,06/02/26 00:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Washington Wizards,
812,1,06/02/26 00:00,"Kia Center, Orlando, FL",Orlando Magic,Brooklyn Nets,
813,1,06/02/26 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Utah Jazz,
814,1,06/02/26 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Chicago Bulls,
815,1,06/02/26 01:00,"Toyota Center, Houston, TX",Houston Rockets,Charlotte Hornets,
816,1,06/02/26 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,San Antonio Spurs,
817,1,06/02/26 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Golden State Warriors,
818,1,06/02/26 03:00,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Philadelphia 76ers,
819,1,07/02/26 00:30,"TD Garden, Boston, MA",Boston Celtics,Miami Heat,
820,1,07/02/26 00:30,"Little Caesars Arena, Detroit, MI",Detroit Pistons,New York Knicks,
821,1,07/02/26 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Indiana Pacers,
822,1,07/02/26 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,New Orleans Pelicans,
823,1,07/02/26 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Memphis Grizzlies,
824,1,07/02/26 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,LA Clippers,
825,1,07/02/26 20:00,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Washington Wizards,
826,1,07/02/26 20:30,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Houston Rockets,
827,1,07/02/26 23:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Dallas Mavericks,
828,1,08/02/26 00:00,"Kia Center, Orlando, FL",Orlando Magic,Utah Jazz,
829,1,08/02/26 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Charlotte Hornets,
830,1,08/02/26 01:00,"United Center, Chicago, IL",Chicago Bulls,Denver Nuggets,
831,1,08/02/26 01:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Golden State Warriors,
832,1,08/02/26 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Philadelphia 76ers,
833,1,08/02/26 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Memphis Grizzlies,
834,1,08/02/26 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Cleveland Cavaliers,
835,1,08/02/26 17:30,"TD Garden, Boston, MA",Boston Celtics,New York Knicks,
836,1,08/02/26 19:00,"Capital One Arena, Washington, DC",Washington Wizards,Miami Heat,
837,1,08/02/26 20:00,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Indiana Pacers,
838,1,08/02/26 20:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,LA Clippers,
839,1,10/02/26 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Detroit Pistons,
840,1,10/02/26 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Chicago Bulls,
841,1,10/02/26 00:30,"Kaseya Center, Miami, FL",Miami Heat,Utah Jazz,
842,1,10/02/26 00:30,"Kia Center, Orlando, FL",Orlando Magic,Milwaukee Bucks,
843,1,10/02/26 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Atlanta Hawks,
844,1,10/02/26 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Sacramento Kings,
845,1,10/02/26 02:00,"Ball Arena, Denver, CO",Denver Nuggets,Cleveland Cavaliers,
846,1,10/02/26 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Memphis Grizzlies,
847,1,10/02/26 03:00,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Oklahoma City Thunder,
848,1,10/02/26 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Philadelphia 76ers,
849,1,11/02/26 00:30,"Madison Square Garden, New York, NY",New York Knicks,Indiana Pacers,
850,1,11/02/26 01:00,"Toyota Center, Houston, TX",Houston Rockets,LA Clippers,
851,1,11/02/26 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Dallas Mavericks,
852,1,11/02/26 03:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,San Antonio Spurs,
853,1,12/02/26 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Atlanta Hawks,
854,1,12/02/26 00:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Washington Wizards,
855,1,12/02/26 00:00,"Kia Center, Orlando, FL",Orlando Magic,Milwaukee Bucks,
856,1,12/02/26 00:30,"TD Garden, Boston, MA",Boston Celtics,Chicago Bulls,
857,1,12/02/26 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Indiana Pacers,
858,1,12/02/26 00:30,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,New York Knicks,
859,1,12/02/26 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Detroit Pistons,
860,1,12/02/26 01:00,"Toyota Center, Houston, TX",Houston Rockets,LA Clippers,
861,1,12/02/26 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Portland Trail Blazers,
862,1,12/02/26 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Miami Heat,
863,1,12/02/26 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Oklahoma City Thunder,
864,1,12/02/26 02:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Sacramento Kings,
865,1,12/02/26 03:00,"Ball Arena, Denver, CO",Denver Nuggets,Memphis Grizzlies,
866,1,12/02/26 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,San Antonio Spurs,
867,1,13/02/26 00:30,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Milwaukee Bucks,
868,1,13/02/26 02:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Portland Trail Blazers,
869,1,13/02/26 03:00,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Dallas Mavericks,
870,1,20/02/26 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Houston Rockets,
871,1,20/02/26 00:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Brooklyn Nets,
872,1,20/02/26 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Atlanta Hawks,
873,1,20/02/26 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Indiana Pacers,
874,1,20/02/26 00:30,"Madison Square Garden, New York, NY",New York Knicks,Detroit Pistons,
875,1,20/02/26 01:00,"United Center, Chicago, IL",Chicago Bulls,Toronto Raptors,
876,1,20/02/26 01:30,"Moody Center, Austin, TX",San Antonio Spurs,Phoenix Suns,
877,1,20/02/26 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Boston Celtics,
878,1,20/02/26 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Orlando Magic,
879,1,20/02/26 03:30,"Intuit Dome, Inglewood, CA",LA Clippers,Denver Nuggets,
880,1,21/02/26 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Cleveland Cavaliers,
881,1,21/02/26 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Indiana Pacers,
882,1,21/02/26 00:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Utah Jazz,
883,1,21/02/26 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Miami Heat,
884,1,21/02/26 00:30,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Dallas Mavericks,
885,1,21/02/26 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Milwaukee Bucks,
886,1,21/02/26 01:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Brooklyn Nets,
887,1,21/02/26 03:00,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,LA Clippers,
888,1,21/02/26 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Denver Nuggets,
889,1,21/02/26 22:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Orlando Magic,
890,1,22/02/26 00:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Philadelphia 76ers,
891,1,22/02/26 01:00,"Kaseya Center, Miami, FL",Miami Heat,Memphis Grizzlies,
892,1,22/02/26 01:00,"United Center, Chicago, IL",Chicago Bulls,Detroit Pistons,
893,1,22/02/26 01:00,"Moody Center, Austin, TX",San Antonio Spurs,Sacramento Kings,
894,1,22/02/26 01:30,"Madison Square Garden, New York, NY",New York Knicks,Houston Rockets,
895,1,22/02/26 18:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Cleveland Cavaliers,
896,1,22/02/26 20:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Brooklyn Nets,
897,1,22/02/26 20:30,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Toronto Raptors,
898,1,22/02/26 20:30,"Chase Center, San Francisco, CA",Golden State Warriors,Denver Nuggets,
899,1,22/02/26 22:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Dallas Mavericks,
900,1,22/02/26 23:00,"Capital One Arena, Washington, DC",Washington Wizards,Charlotte Hornets,
901,1,22/02/26 23:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Boston Celtics,
902,1,23/02/26 00:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Philadelphia 76ers,
903,1,23/02/26 01:00,"United Center, Chicago, IL",Chicago Bulls,New York Knicks,
904,1,23/02/26 01:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Portland Trail Blazers,
905,1,23/02/26 02:00,"Intuit Dome, Inglewood, CA",LA Clippers,Orlando Magic,
906,1,24/02/26 00:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,San Antonio Spurs,
907,1,24/02/26 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Sacramento Kings,
908,1,24/02/26 02:30,"Toyota Center, Houston, TX",Houston Rockets,Utah Jazz,
909,1,25/02/26 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Philadelphia 76ers,
910,1,25/02/26 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Washington Wizards,
911,1,25/02/26 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Dallas Mavericks,
912,1,25/02/26 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Oklahoma City Thunder,
913,1,25/02/26 01:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,New York Knicks,
914,1,25/02/26 01:00,"United Center, Chicago, IL",Chicago Bulls,Charlotte Hornets,
915,1,25/02/26 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Miami Heat,
916,1,25/02/26 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Golden State Warriors,
917,1,25/02/26 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Boston Celtics,
918,1,25/02/26 03:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Orlando Magic,
919,1,25/02/26 04:00,"Moda Center, Portland, OR",Portland Trail Blazers,Minnesota Timberwolves,
920,1,26/02/26 00:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Oklahoma City Thunder,
921,1,26/02/26 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,San Antonio Spurs,
922,1,26/02/26 00:30,"FedExForum, Memphis, TN",Memphis Grizzlies,Golden State Warriors,
923,1,26/02/26 01:00,"Toyota Center, Houston, TX",Houston Rockets,Sacramento Kings,
924,1,26/02/26 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Cleveland Cavaliers,
925,1,26/02/26 03:00,"Ball Arena, Denver, CO",Denver Nuggets,Boston Celtics,
926,1,27/02/26 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Charlotte Hornets,
927,1,27/02/26 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Miami Heat,
928,1,27/02/26 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Washington Wizards,
929,1,27/02/26 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,San Antonio Spurs,
930,1,27/02/26 00:30,"Kia Center, Orlando, FL",Orlando Magic,Houston Rockets,
931,1,27/02/26 01:00,"United Center, Chicago, IL",Chicago Bulls,Portland Trail Blazers,
932,1,27/02/26 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Sacramento Kings,
933,1,27/02/26 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Los Angeles Lakers,
934,1,27/02/26 02:00,"Delta Center, Salt Lake City, UT",Utah Jazz,New Orleans Pelicans,
935,1,27/02/26 03:00,"Intuit Dome, Inglewood, CA",LA Clippers,Minnesota Timberwolves,
936,1,28/02/26 00:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Cleveland Cavaliers,
937,1,28/02/26 00:30,"TD Garden, Boston, MA",Boston Celtics,Brooklyn Nets,
938,1,28/02/26 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,New York Knicks,
939,1,28/02/26 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Memphis Grizzlies,
940,1,28/02/26 02:30,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Denver Nuggets,
941,1,28/02/26 18:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Portland Trail Blazers,
942,1,28/02/26 20:00,"Kaseya Center, Miami, FL",Miami Heat,Houston Rockets,
943,1,01/03/26 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Toronto Raptors,
944,1,01/03/26 01:30,"Chase Center, San Francisco, CA",Golden State Warriors,Los Angeles Lakers,
945,1,01/03/26 02:30,"Delta Center, Salt Lake City, UT",Utah Jazz,New Orleans Pelicans,
946,1,01/03/26 18:00,"Madison Square Garden, New York, NY",New York Knicks,San Antonio Spurs,
947,1,01/03/26 20:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Cleveland Cavaliers,
948,1,01/03/26 20:30,"United Center, Chicago, IL",Chicago Bulls,Milwaukee Bucks,
949,1,01/03/26 20:30,"Ball Arena, Denver, CO",Denver Nuggets,Minnesota Timberwolves,
950,1,01/03/26 22:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Memphis Grizzlies,
951,1,01/03/26 23:00,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Portland Trail Blazers,
952,1,01/03/26 23:00,"TD Garden, Boston, MA",Boston Celtics,Philadelphia 76ers,
953,1,01/03/26 23:00,"Kia Center, Orlando, FL",Orlando Magic,Detroit Pistons,
954,1,02/03/26 01:00,"American Airlines Center, Dallas, TX",Dallas Mavericks,Oklahoma City Thunder,
955,1,02/03/26 02:00,"Intuit Dome, Inglewood, CA",LA Clippers,New Orleans Pelicans,
956,1,02/03/26 02:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Sacramento Kings,
957,1,03/03/26 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Houston Rockets,
958,1,03/03/26 00:30,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Boston Celtics,
959,1,03/03/26 02:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Denver Nuggets,
960,1,03/03/26 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,LA Clippers,
961,1,04/03/26 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Dallas Mavericks,
962,1,04/03/26 00:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Detroit Pistons,
963,1,04/03/26 00:00,"Kia Center, Orlando, FL",Orlando Magic,Washington Wizards,
964,1,04/03/26 00:30,"Kaseya Center, Miami, FL",Miami Heat,Brooklyn Nets,
965,1,04/03/26 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,New York Knicks,
966,1,04/03/26 01:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,San Antonio Spurs,
967,1,04/03/26 01:00,"United Center, Chicago, IL",Chicago Bulls,Oklahoma City Thunder,
968,1,04/03/26 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Memphis Grizzlies,
969,1,04/03/26 03:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,New Orleans Pelicans,
970,1,04/03/26 04:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Phoenix Suns,
971,1,05/03/26 00:00,"Madison Square Garden, New York, NY",New York Knicks,Oklahoma City Thunder,
972,1,05/03/26 00:30,"TD Garden, Boston, MA",Boston Celtics,Charlotte Hornets,
973,1,05/03/26 00:30,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Utah Jazz,
974,1,05/03/26 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Portland Trail Blazers,
975,1,05/03/26 02:30,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Atlanta Hawks,
976,1,05/03/26 03:30,"Intuit Dome, Inglewood, CA",LA Clippers,Indiana Pacers,
977,1,06/03/26 00:00,"Kia Center, Orlando, FL",Orlando Magic,Dallas Mavericks,
978,1,06/03/26 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Utah Jazz,
979,1,06/03/26 00:30,"Kaseya Center, Miami, FL",Miami Heat,Brooklyn Nets,
980,1,06/03/26 00:30,"Toyota Center, Houston, TX",Houston Rockets,Golden State Warriors,
981,1,06/03/26 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Toronto Raptors,
982,1,06/03/26 01:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Detroit Pistons,
983,1,06/03/26 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Chicago Bulls,
984,1,06/03/26 03:00,"Ball Arena, Denver, CO",Denver Nuggets,Los Angeles Lakers,
985,1,06/03/26 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,New Orleans Pelicans,
986,1,07/03/26 00:00,"TD Garden, Boston, MA",Boston Celtics,Dallas Mavericks,
987,1,07/03/26 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Miami Heat,
988,1,07/03/26 01:00,"Toyota Center, Houston, TX",Houston Rockets,Portland Trail Blazers,
989,1,07/03/26 02:00,"Ball Arena, Denver, CO",Denver Nuggets,New York Knicks,
990,1,07/03/26 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,New Orleans Pelicans,
991,1,07/03/26 02:30,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,LA Clippers,
992,1,07/03/26 03:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Indiana Pacers,
